,res,comid,sum_conn_strength,sum_weighted_lengths,weighted_conn_length_com
77,7e-06,12.0,2.0546778721086425,12681.74750896258,6172.134173006767
78,7e-06,13.0,13.003788771950012,8416.76185170391,647.2545809002522
79,7e-06,14.0,7.844659664587608,33692.04956751973,4294.902648181476
80,7e-06,15.0,1.4561991249491237,1145.7538874596853,786.8112731490038
81,7e-06,16.0,4.791660740053609,6166.316520789108,1286.885039511399
82,7e-06,17.0,1.349603174603175,1021.2837511973348,756.7289188524796
83,7e-06,18.0,1.3812324920133174,9392.614172115349,6800.168853850557
84,7e-06,19.0,1.3809523809523827,1033.0668820250698,748.0829145698772
85,7e-06,20.0,1.0360119047619112,1017.4202464385588,982.0545900699616
86,7e-06,21.0,4.655831909512893,2894.3711109668543,621.6657231660394
87,7e-06,22.0,4.820162526014161,14373.834767701268,2982.0228446917395
